Machine_ID,high_risk_count,avg_anomaly_score,max_anomaly_score
18,27,0.748302579514354,0.8570202217070173
32,27,0.7669173238686116,0.889101129604161
3,25,0.7562206537359047,0.859012158029171
33,22,0.7453348471865745,0.8158573987039787
24,22,0.7501197404902537,0.8950003955288739
44,21,0.7618927512138468,0.893238365800566
14,21,0.7379590231100407,0.8145995700828709
20,21,0.7549934460591179,0.8811980597613114
7,20,0.7509689189814739,0.9277737078406092
47,19,0.749546154271505,0.9531246095767193
28,19,0.7680552566248909,1.0
1,18,0.7423766416842378,0.9062832627167958
46,18,0.7391903220361881,0.8140253290825828
41,18,0.7863933588045859,0.944847986006092
40,18,0.7450796948949681,0.8001662922257257
39,18,0.75052409310062,0.875206435298806
26,18,0.7507794910017942,0.8565830026379877
17,17,0.7779915097729042,0.8716854728685319
30,17,0.7638858885267892,0.8784389349943811
49,17,0.747178502676202,0.8591709356324995
4,17,0.7604852897164964,0.8931733024002341
22,17,0.7473779977504947,0.8658650393969398
45,17,0.7523972917493363,0.8791171267860879
38,17,0.7473157073441081,0.8200302465771825
37,17,0.7414568311155129,0.8440274264253091
36,17,0.7490312777503834,0.8473685065168919
11,17,0.7581086647349365,0.8820036817432501
5,16,0.7548123868999908,0.8631452841520747
9,16,0.731667639726621,0.7749114020638557
50,16,0.7539675616380882,0.8126924664629843
23,16,0.7617156780017169,0.8512677176813187
27,16,0.7442483656549463,0.84136876839512
34,15,0.7338932255796671,0.7814302300634319
13,15,0.7453411915907168,0.8532842241660126
2,15,0.7367377682941529,0.796291278523988
25,14,0.7486146444121448,0.8181512431097008
21,14,0.7516787658239201,0.8327461183007308
43,14,0.7375113517928727,0.7959006760112926
8,14,0.7501855032090349,0.9432057097527731
35,13,0.7488055850853576,0.8419238017015659
6,13,0.750546257065894,0.9163849178866571
19,13,0.7533470291389585,0.9491646131864122
12,12,0.7464854583961035,0.9218987058635093
29,12,0.7510459175103525,0.8912918458080794
48,12,0.7625556408609175,0.8943743751676037
16,12,0.7380474393690637,0.820805769511393
15,11,0.7569413885024826,0.8466785453930961
10,10,0.7405231674632019,0.790748891033584
42,10,0.74185221724858,0.8268319355534433
31,10,0.7618408467335026,0.8872023319866849
